sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
19,pun,salivation,bell,0.318681874,-0.358648754,5.71E-07,5.71E-07,2.62E-05
19,pun,salivation,bark,-0.603036147,-0.518201998,3.60E-06,3.60E-06,4.67E-06
19,pun,salivation,kennel,-0.12174292,-0.852195938,5.75E-07,5.75E-07,1.45E-06
19,pun,salivation,novel,-0.9744652,-0.463107148,0.000451063,0.000451063,3.32E-05
19,pun,salivation,ivan,-0.890851734,-0.855225043,3.35E-09,3.35E-09,4.54E-06
19,pun,salivation,pavlov,0.539515988,0.155029846,0.0430161,0.0430161,9.84E-07
19,pun,salivation,chronicles,-0.658279818,-0.43002334,6.43E-07,6.43E-07,1.19E-06
19,pun,salivation,birth,-0.35454071,0.238622737,0.000129394,0.000129394,4.12E-05
19,pun,salivation,army,0.091829622,0.114838662,4.17E-05,4.30E-06,9.02E-05
20,pun,orifice,orifice,0,0,8.26E-07,0.00143566,4.31E-07
20,pun,orifice,dentists,0.194547375,1.238488039,2.32E-07,2.32E-07,2.38E-06
20,pun,orifice,like,-0.855225043,-0.964779109,0.0142077,0.0142077,0.001186943
20,pun,orifice,hard,-0.497426638,-0.360273011,0.000703352,0.000703352,0.000179481
20,pun,orifice,day,-0.740043375,0.26177945,0.0281796,0.0281796,0.000484189
21,pun,braille,braille,0,0,7.10E-08,4.51E-07,1.03E-06
21,pun,braille,even,-0.801476003,-0.768492084,3.67E-05,3.67E-05,0.000706388
21,pun,braille,ashley,-0.506866596,-0.318165828,0.00274991,0.00274991,8.55E-06
21,pun,braille,blind,1.534468703,-0.999925399,0.000108825,0.000108825,2.45E-05
21,pun,braille,under,-0.9624971,-0.794120045,0.000278334,0.000278334,0.000485685
21,pun,braille,arrest,-0.791296213,1.722882404,0.000540865,0.000540865,1.72E-05
21,pun,braille,still,-0.560659136,-0.84409879,0.00315405,0.00315405,0.000580957
21,pun,braille,hope,-0.622885758,-0.291239755,8.12E-06,8.12E-06,0.000138153
21,pun,braille,out,-0.109953666,1.523096169,0.00285679,0.00285679,0.001586582
22,pun,sperm,sperm,0,0,7.27E-06,2.09E-05,3.45E-06
22,pun,sperm,even,-1.09733531,-1.025309695,3.67E-05,3.67E-05,0.000706388
22,pun,sperm,contributes,-0.395011074,-0.491900541,6.20E-06,6.20E-06,4.36E-06
